Team 1,Team 2,Bet Type,Bet Info,Odds,Time of Game,DateTime,Sportsbook Name,Sport
Suns,Magic,Spread,+4.5,-105,Today • 8:10 PM,2024-11-18 16:29:21.896898,BetMGM,NBA
Suns,Magic,Total (Under),U 212.5,-115,Today • 8:10 PM,2024-11-18 16:29:21.896900,BetMGM,NBA
Suns,Magic,MoneyLine,,+155,Today • 8:10 PM,2024-11-18 16:29:21.896903,BetMGM,NBA
Hawks,Kings,Spread,+4.5,-110,Today • 9:10 PM,2024-11-18 16:29:21.899861,BetMGM,NBA
Hawks,Kings,Total (Over),O 237.5,-105,Today • 9:10 PM,2024-11-18 16:29:21.899864,BetMGM,NBA
Hawks,Kings,MoneyLine,,+150,Today • 9:10 PM,2024-11-18 16:29:21.899867,BetMGM,NBA
Kings,Hawks,Spread,-4.5,-110,Today • 9:10 PM,2024-11-18 16:29:21.899870,BetMGM,NBA
Kings,Hawks,Total (Under),U 237.5,-115,Today • 9:10 PM,2024-11-18 16:29:21.899873,BetMGM,NBA
Kings,Hawks,MoneyLine,,-185,Today • 9:10 PM,2024-11-18 16:29:21.899876,BetMGM,NBA
Warriors,Clippers,Spread,-5.5,-105,Today • 10:10 PM,2024-11-18 16:29:21.903044,BetMGM,NBA
Warriors,Clippers,Total (Over),O 225.5,-115,Today • 10:10 PM,2024-11-18 16:29:21.903051,BetMGM,NBA
Warriors,Clippers,MoneyLine,,-210,Today • 10:10 PM,2024-11-18 16:29:21.903055,BetMGM,NBA
Clippers,Warriors,Spread,+5.5,-115,Today • 10:10 PM,2024-11-18 16:29:21.903058,BetMGM,NBA
Clippers,Warriors,Total (Under),U 225.5,-105,Today • 10:10 PM,2024-11-18 16:29:21.903061,BetMGM,NBA
Clippers,Warriors,MoneyLine,,+170,Today • 10:10 PM,2024-11-18 16:29:21.903064,BetMGM,NBA
Cavaliers,Celtics,Spread,+4.5,-105,Today • 10:40 PM,2024-11-18 16:29:21.906502,BetMGM,NBA
Cavaliers,Celtics,Total (Over),O 231.5,-110,Today • 10:40 PM,2024-11-18 16:29:21.906509,BetMGM,NBA
Cavaliers,Celtics,MoneyLine,,+150,Today • 10:40 PM,2024-11-18 16:29:21.906513,BetMGM,NBA
Celtics,Cavaliers,Spread,-4.5,-115,Today • 10:40 PM,2024-11-18 16:29:21.906516,BetMGM,NBA
Celtics,Cavaliers,Total (Under),U 231.5,-110,Today • 10:40 PM,2024-11-18 16:29:21.906519,BetMGM,NBA
Celtics,Cavaliers,MoneyLine,,-185,Today • 10:40 PM,2024-11-18 16:29:21.906522,BetMGM,NBA
Hornets,Nets,Spread,+2.5,-115,Today • 10:40 PM,2024-11-18 16:29:21.909446,BetMGM,NBA
Hornets,Nets,Total (Over),O 223.5,-115,Today • 10:40 PM,2024-11-18 16:29:21.909450,BetMGM,NBA
Hornets,Nets,MoneyLine,,+105,Today • 10:40 PM,2024-11-18 16:29:21.909453,BetMGM,NBA
Nets,Hornets,Spread,-2.5,-105,Today • 10:40 PM,2024-11-18 16:29:21.909456,BetMGM,NBA
Nets,Hornets,Total (Under),U 223.5,-105,Today • 10:40 PM,2024-11-18 16:29:21.909459,BetMGM,NBA
Nets,Hornets,MoneyLine,,-130,Today • 10:40 PM,2024-11-18 16:29:21.909463,BetMGM,NBA
Nuggets,Grizzlies,Spread,+3.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.912759,BetMGM,NBA
Nuggets,Grizzlies,Total (Over),O 228.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.912764,BetMGM,NBA
Nuggets,Grizzlies,MoneyLine,,+135,Today • 7:40 PM,2024-11-18 16:29:21.912767,BetMGM,NBA
Grizzlies,Nuggets,Spread,-3.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.912770,BetMGM,NBA
Grizzlies,Nuggets,Total (Under),U 228.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.912773,BetMGM,NBA
Grizzlies,Nuggets,MoneyLine,,-165,Today • 7:40 PM,2024-11-18 16:29:21.912777,BetMGM,NBA
Pelicans,Mavericks,Spread,+10.5,-110,Today • 7:10 PM,2024-11-18 16:29:21.916520,BetMGM,NBA
Pelicans,Mavericks,Total (Over),O 224.5,-105,Today • 7:10 PM,2024-11-18 16:29:21.916527,BetMGM,NBA
Pelicans,Mavericks,MoneyLine,,+400,Today • 7:10 PM,2024-11-18 16:29:21.916530,BetMGM,NBA
Mavericks,Pelicans,Spread,-10.5,-110,Today • 7:10 PM,2024-11-18 16:29:21.916533,BetMGM,NBA
Mavericks,Pelicans,Total (Under),U 224.5,-115,Today • 7:10 PM,2024-11-18 16:29:21.916536,BetMGM,NBA
Mavericks,Pelicans,MoneyLine,,-550,Today • 7:10 PM,2024-11-18 16:29:21.916539,BetMGM,NBA
Thunder,Spurs,Spread,-8.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.919771,BetMGM,NBA
Thunder,Spurs,Total (Over),O 222.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.919776,BetMGM,NBA
